data_id,keep,target,context,notes
8479449,0,pepper,to counter demonstrators use of spray A counter demonstrator and,"On 7 August 2021, more than 50 people, including members of the Proud Boys, gathered for a Christian demonstration in Portland-Downtown (Oregon) against 'the gay agenda' and abortions. The demonstration was led by anti-LGBT Pastor Artur Pawlowski. Dozens of counter-demonstrators, including Antifa and people dressed in black bloc, threw smoke grenades and damaged the group's audio equipment. The demonstrators tried to relocate elsewhere in the park, but the counter-demonstrators followed. Once the event was concluded demonstrators armed with paintball guns, batons and other weapons standing guard of the event clashed with counter-demonstrators. Demonstrators fired paint ball guns in response to counter-demonstrators' use of pepper spray. A counter-demonstrator and bystander reported being shot in the face with a paintball. [size=more than 50] [counter-demonstration]"
8418015,0,pepper,of both groups carried knives spray and bats size between,"On 25 July 2021, between 1000 and 4000 people staged a 'We Are Israel' pro-Israel rally in El Cajon (California) in support of Israel. The group Shield of David organized the event. Former Secretary of State Mike Pompeo (R), Christians (including Chaldeans, which is a branch of Catholicism), Latinos for Israel, 'thin blue line' police supporters, Recall Newsom supporters, and supporters of Former President Trump attended the event. Counter demonstrators, including about 100-200 pro-Palestinian demonstrators, organized by Palestinian Youth movement, were also present. Members of Jewish Voice for Peace, Union del Barrio, and Black Lives Matter also attended. Jewish (including Mizrahi), Black, and Latinx people allegedly demonstrated with both groups. Allegedly, small groups on each side initiated physical confrontations involving mace and punches. These included members of Exiled Patriots (pro-Israel) and Antifa (pro-Palestine). Members of both groups carried knives, pepper spray, and bats. [size=between 1000 and 4000] [counter-demonstration] [suggested agents provocateur]"
8418153,1,pepper,during which police reportedly used spray on people marching to,"On 24 July 2021, dozens of people gathered in Graham (North Carolina) to demonstrate for video footage of an event in October 2020, during which police reportedly used pepper spray on people marching to the polls, to be released [size=dozens]"
8478463,0,pepper,confiscated stun guns knives and spray Some demonstrators were allegedly,"On 17 July 2021, about 50-80 people rallied and marched for a second week to the Wi Spa in Los Angeles-Central (California) to stand against an alleged incident in which a transgender woman undressed in the women's dressing room and against transgender people in general. Proud Boys armed with baseball bats, Mass Resistance, QAnon supporters, supporters of the QAnon-linked 'Save Our Children' movement, Groypers, and Trump supporters attended. Counter demonstrators, including transgender people and members of Antifa, were also present and rallied in support of transgender people. The groups engaged in physical altercations that allegedly included throwing smoke bombs and other objects at officers and demonstrators throwing water bottles at each other. Officers in riot gear hit pro-LGBT demonstrators with batons and fired bean bag rounds, in an alleged excessive use of force against pro-transgender demonstrators. (Officers use of less lethal projectiles comes during an active federal restriction on LAPD's use of projectile launchers against crowds unless they 'pose a clear threat of serious bodily harm to others.') At least one officer shot a less-lethal round at a fleeing demonstrator. 38 to 40 pro-transgender supporters were arrested after officers attempted to kettle the demonstrators. Officers confiscated stun guns, knives, and pepper spray. Some demonstrators were allegedly injured by police. At least two journalists were allegedly physically assaulted by anti-transgender demonstrators. Additionally, one journalist was assaulted by pro-transgender demonstrators, one civilian was maced by a Proud Boy, and a medic was attacked by a group of Proud Boys. There were no reported arrests among right-wing demonstrators. [size=about 50-80]"
8392762,0,pepper,a Sheriff who had previously sprayed members of the group,"On 10 July 2021, a group of people waving Confederate flags, including members of the Proud Boys, gathered in Graham (North Carolina) to demonstrate against the removal of Confederate monuments. The group was counter-demonstrated by another group of over 50 people supporting the Black Lives Matter Movement, who also demonstrated against a Sheriff who had previously pepper-sprayed members of the group. [size=over 50] [counter-demonstration]"
8382929,0,pepper,threw water bottles and fired spray at the man After,"On 5 July 2021, more than 100 people gathered outside a home in Mount Laurel (New Jersey) to protest the home's resident, who was filmed hurling racial slurs and harassing his Black neighbors. During the demonstration, police arrested and escorted the man out of his home and into a police car. Some demonstrators threw water bottles and fired pepper spray at the man. After the man left his home, some demonstrators smashed some of the windows. No one was injured. [size=more than 100]"
8382960,0,pepper,used excessive force and deployed spray against teenagers and children,"On 3 July 2021, more than 150 people, organized by Black Lives Matter RI PAC, gathered outside the Public Safety Complex in Providence (Rhode Island) to demand the city defund and change the Providence Police Department after police allegedly used excessive force and deployed pepper spray against teenagers and children. State Sen. Sam Bell (D) and State Reps. David Morales (D) and Marcia Ranglin-Vassell (D) attended the event. [size=more than 150]"
8399730,1,pepper,Washington Square Park and began spraying demonstrators who threw water,"On 27 June 2021, thousands of people organized by the Reclaim Pride Coalition held a 'Queer Liberation March' from Bryant Park past the Stonewall Inn to Washington Square Park in New York - Manhattan (New York) in support of LGBTQ rights, the Black Lives Matter movement, and against the deaths of Black trans women. Some also expressed pro-Palestinian sentiments, including the group Queers Against Israeli Apartheid. Members of the group, Graduate Workers of Columbia, organized by United Automobile Workers, also joined the demonstration. NYPD attempted to prevent demonstrators from entering Washington Square Park and began pepper-spraying demonstrators who threw water bottles and other projectiles at police. Minor scuffles then broke out between demonstrators and police. Seven people were arrested, including three for assaulting police officers. [size=thousands]"
8200141,0,pepper,also set off fireworks used spray and began hitting each,"On 18 June 2021, around 80-100 people including members of the Proud Boys gathered in Clackamette Park in Oregon City (Oregon) to show support for the GOP. Counter demonstrators including members of Antifa also gathered in the park to stand against fascism. The two groups yelled at one another and then began fighting after an American flag was burned. The two sides also set off fireworks, used pepper spray and began hitting each other with baseball bats and flagpoles. The event was declared a riot, and police moved in to separate the groups, but it is unclear if they made any arrests. [size=around 80-100] [counter-demonstration]"
8487178,0,Pepper,attacked by religious counter protesters spray was used during the,"On 12 June 2021, pro-LBGTQ rallygoers at a LGBTQ pride fair in Chalmer Jones Park in Keizer (Oregon) were attacked by religious counter-protesters. Pepper spray was used during the altercation. [size=no report] [counter-demonstration]"
