data_id,keep,tear_gas_context,notes
8479962,1,police used rubber bullets and against them Protests started after,"On 19 July 2021, community members pressured for the treatment of two Latinx youth, injured during a 'possible shooting', at Chicano Park in San Diego (California) and police used rubber bullets and tear gas against them. Protests started after police delayed to call an ambulance while responding to the shooting case, and the neglect likely played a role in their deaths. [size=no report]"
8392830,0,the evening threatening to use and make arrests size dozens,"On 13 July 2021, dozens of Cuban Americans and their supporters protested at an intersection in Westchester (Florida) to show solidarity with protesters in Cuba amid anti-government demonstrations on the island. The group marched on the Palmetto Expressway for several hours during the event. Florida Highway Patrol dispersed the crowd later in the evening, threatening to use tear gas and make arrests. [size=dozens]"
8073145,0,stand against the use of against citizens and to show,"On 11 June 2021, more than 50 people organized by Justice for Black Lives and including members of the Young Black Panthers gathered near Rosa Parks Circle in Grand Rapids (Michigan) to protest the announcement that Karianne Thomas, a previously fired Kalamazoo police chief, would be hired as the local police chief of staff, to criticize her handling of racial justice protests, to stand against the use of tear gas against citizens and to show support for the Black Lives Matter movement. [size=more than 50]"
8073125,1,rocks at police Police fired and flashbang grenades on demonstrators,"On 3 June 2021, a few dozen people gathered in the Uptown neighborhood of Minneapolis (Minnesota) to demonstrate against the police after law enforcement officers shot and killed a 32 year-old Black man, Winston Boogie Smith Jr., earlier that day for alleged unlawful possession of a firearm and to show support for the Black Lives Matter movement. At night, demonstrators reached around 100 in number, and they set a dumpster on fire, smashed the windows of corporate stores and threw rocks at police. Police fired tear gas and flashbang grenades on demonstrators and arrested nine people. [size=a few dozen to around 100]"
8478319,1,man Police intervened and used and impact munitions to disperse,"On 16 April 2021, more than 100 people gathered for a demonstration in Lents Park in Portland-Southeast (Oregon) in support of the Black Lives Matter movement, against police brutality and death of George Floyd, and after Portland police shot and killed Robert Douglas Delgado, a white man. Police intervened and used tear gas and impact munitions to disperse demonstrators, who threw the canisters and other objects at police. During the event, a journalist was assaulted by an activist. [size=more 100]"
7898329,0,reported and no pepper spray rubber bullets or flash bangs,"On 15 April 2021, hundreds of people including about 70 clergy across faith traditions and members of CAIR gathered for the fifth consecutive day in Brooklyn Center (Minnesota) to protest the fatal shooting of Daunte Wright on April 11th, to show support for the Black Lives Matter movement, to demand more severe charges against the white former police officer, and to protest the death of 13-year-old Adam Toledo. There were no arrests reported, and no pepper spray, tear gas, rubber bullets or flash bangs were used by police or National Guard. [size=hundreds]"
7923947,1,7 p m police used and flash bangs on the,"On 12 April 2021, hundreds of people gathered for a vigil and march near the Police Department in Brooklyn Center (Minnesota) against the death of Daunte Wright, a 20-year-old Black man who was fatally shot by a white police officer during a traffic stop on 11 April, as well as to call for the officer to be fired, to demand the police chief and city manager resign, and in support of the Black Lives Mater movement. After the city-wide curfew went into effect at 7 p.m., police used tear gas and flash bangs on the group. A Dollar Tree store was also looted and set on fire in a strip mall. Police intervened and arrested 34-50 people, some for violating the curfew and others for burglary. [size=hundreds]"
7923946,1,bullets flash bang grenades and at the group after dispersal,"On 11 April 2021, 100 to 200 people gathered and marched toward the police station in Brooklyn Center (Minnesota) after news spread on social media that a police officer had shot and killed a Black man, Daunte Wright, at a traffic stop earlier that day. People threw rocks and other objects at the police department building. Police pushed the crowd across the street and shot rubber bullets, flash-bang grenades, and tear gas at the group after dispersal orders were given and people remained outside. About 20 businesses were also broken into and looted. [size=100 to 200]"
7751557,1,beer at police after which and pepper spray were used,"On 12 March 2021, roughly 100 people including the Oregon ACLU participated in a demonstration in Portland (Oregon) in support of the Black Lives Matter movement, and against police brutality, the death of George Floyd, and the DHS. Demonstrators turned violent when they broke two windows. Police intervened, mass-detaining 100 people through a kettle maneuver. Police released journalists and legal observers one by one from the kettle after recording their personal information and photographing them as part of a criminal investigation for a crime which police would not specify. Those released were made to wear duct tape on their chest with their personal information written on it. It was reported that some people outside the kettle threw rocks and cans of beer at police, after which tear gas and pepper spray were used by police on demonstrators outside the kettle. 13 demonstrators were arrested. [size=roughly 100]"
8478236,1,federal courthouse Federal officers fired and chemical munitions two dozen,"On 11 March 2021, about 100 people gathered for a 'Stop Line 3' demonstration in Portland-Downtown (Oregon) in solidarity with the Anishinaabe tribe, in support of abolishing ICE, to support water rights, and against DHS and the proposed Line 3 pipeline expansion. The demonstrators went to several sites where funders of the pipeline project were located, including a Chase Bank where a security guard pulled a gun on demonstrators as they attempted to enter the building. The demonstration turned violent when around 50 to 60 demonstrators in black bloc lit fires, smashed windows, and pulled protective plywood off the Mark O. Hatfield federal courthouse. Federal officers fired tear gas and chemical munitions two dozen times at the rioters to disperse the crowd. At least one person was arrested. A journalist and a scientist documenting police use of tear gas reported being targeted by officers and shot with pepper balls. [size=about 100]"
8478236,1,scientist documenting police use of reported being targeted by officers,"On 11 March 2021, about 100 people gathered for a 'Stop Line 3' demonstration in Portland-Downtown (Oregon) in solidarity with the Anishinaabe tribe, in support of abolishing ICE, to support water rights, and against DHS and the proposed Line 3 pipeline expansion. The demonstrators went to several sites where funders of the pipeline project were located, including a Chase Bank where a security guard pulled a gun on demonstrators as they attempted to enter the building. The demonstration turned violent when around 50 to 60 demonstrators in black bloc lit fires, smashed windows, and pulled protective plywood off the Mark O. Hatfield federal courthouse. Federal officers fired tear gas and chemical munitions two dozen times at the rioters to disperse the crowd. At least one person was arrested. A journalist and a scientist documenting police use of tear gas reported being targeted by officers and shot with pepper balls. [size=about 100]"
7766952,1,shooting pepper balls and deploying Three police officers sustained minor,"On 6 March 2021, around 500 to 800 people, including many university students, gathered in a neighborhood in Boulder (Colorado) for a large party. When the party was broken up, students turned violent and began to riot, setting off fireworks, throwing rocks and bottles at police officers and at SWAT officers who arrived later, and flipping over a car. Police responded by shooting pepper balls and deploying tear gas. Three police officers sustained minor injuries and several cars, including a police car and a fire department vehicle, were damaged. No arrests were made at the scene but six people were later arrested based on video evidence on charges related to rioting, violating the coronavirus pandemic public health order, and assault. [size=around 500 to 800]"
8478129,1,requested that authorities stop using due to it seeping into,"On 27 January 2021, around 50-100 people, including members of Antifa, gathered for a Holocaust memorial which evolved into a demonstration at the ICE facility in Portland-South (Oregon) in support of abolishing ICE. Federal officers and police intervened and deployed munitions, including pepper balls, after people threw projectiles at Federal officers and set a dumpster on fire. One journalist reported being hit in the finger with munitions. Federal officers made one arrest. A nearby school requested that authorities stop using tear gas due to it seeping into the lawn that children play on. [size=around 50-100]"
8478128,1,ICE DHS officers intervened with and impact munitions reportedly injuring,"On 23 January 2021, about 100 people gathered for a protest outside the ICE facility in Portland-South (Oregon) in support of abolishing ICE. DHS officers intervened with tear gas and impact munitions, reportedly injuring one protester. It was reported that an ambulance took the protester away, yet the extent of the injuries is unknown. DHS arrested at least two protesters. [size=about 100]"
8478112,1,firearms Federal officers responded with stun grenades and less lethal,"On 20 January 2021, about 150 people gathered for a demonstration near the ICE facility in Portland-South (Oregon) in support of abolishing ICE. The crowd marched to the ICE facility where they were met with federal officers. Police reported that members of the crowd damaged the building, threw eggs and rocks, and were armed with various weapons, although it did not appear that they had firearms. Federal officers responded with tear gas, stun grenades, and less-lethal munitions. The use of strobe lights by federal agents allegedly caused one demonstrator to have a seizure. The officers refused to let medics attend to the demonstrator. A journalist reported passing out because of the tear gas and was taken to the hospital, having sustained a torn muscle and concussion. Two other journalists reported being hit by a tear gas canister and crowd control munitions. Six people were arrested. [size=about 150]"
