latitude,longitude,n
29.4278,-98.4875,1
44.4759,-73.2121,2
43.0748,-89.384,3
32.0835,-81.0998,4
38.2454,-81.5671,5
38.8342,-104.8214,6
40.0428,-86.1275,7
45.6333,-122.6,8
48.1181,-123.4307,9
32.4609,-84.9877,10
40.7775,-111.8882,11
40.8451,-73.8649,12
34.257,-85.1647,13
30.2241,-92.0198,14
35.0844,-106.6511,15
44.3106,-69.7794,16
39.7137,-82.5993,17
41.6608,-91.5304,18
34.5034,-82.6501,19
38.627,-90.1913,20
42.6389,-83.2911,21
47.6776,-116.7804,22
28.0836,-80.6081,23
37.9748,-87.5559,24
42.3265,-122.8756,25
36.154,-95.9928,26
48.0796,-123.1023,27
40.4406,-79.9958,28
42.6801,-83.1339,29
33.4017,-86.9544,30
41.7,-73.93,31
34.5008,-117.1859,32
35.601,-82.554,33
42.216,-79.8344,34
44.9385,-123.0305,35
37.7793,-122.4193,36
34.5811,-118.1248,37
32.8321,-117.2749,38
47.0357,-122.9048,39
38.9187,-77.2311,40
39.7444,-75.5516,41
42.3351,-83.0476,42
30.8333,-83.2803,43
43.6156,-84.2472,44
26.3114,-98.1632,45
30.2747,-97.7405,46
39.5539,-104.9694,47
43.6574,-70.2589,48
40.5067,-111.4122,49
43.7094,-98.0298,50
35.9604,-83.9216,51
39.1271,-84.5144,52
38.2542,-85.7594,53
34.09,-118.3617,54
43.5499,-96.7003,55
38.4784,-82.6379,56
34.3665,-89.5192,57
42.4393,-123.3307,58
36.166,-86.7842,59
42.6528,-79.0062,60
41.6284,-87.5979,61
41.0668,-73.4842,62
42.29,-85.5858,63
21.3069,-157.8583,64
41.0808,-85.1391,65
40.7834,-73.9663,66
34.0693,-118.3118,67
29.7603,-95.3644,68
32.7357,-97.1081,69
45.0275,-84.6748,70
37.323,-122.0321,71
61.5809,-149.4415,72
41.7302,-71.5352,73
36.1749,-115.13720000000001,74
39.0438,-77.4874,75
41.8757,-87.6243,76
25.7907,-80.1339,77
44.5434,-68.4195,78
38.254,-104.6111,79
45.7832,-108.5006,80
36.6777,-121.6559,81
37.7599,-78.8709,82
40.7933,-77.86,83
34.7648,-83.064,84
39.2798,-89.8818,85
42.2594,-89.0644,86
34.2257,-77.9447,87
42.0373,-88.2812,88
32.7174,-117.166,89
39.961,-75.608,90
34.1954,-79.7626,91
40.7439,-74.0323,92
37.3538,-121.9564,93
46.1262,-67.8403,94
40.6904,-73.9862,95
41.8758,-87.6866,96
42.3736,-71.1097,97
33.4492,-112.0741,98
40.6995,-99.0815,99
33.9412,-84.2135,100
38.5799,-121.4962,101
43.3194,-87.9517,102
39.9525,-75.1636,103
26.962,-82.3526,104
36.8251,-119.7021,105
46.8771,-96.7898,106
28.5347,-81.387200000000007,107
37.8715,-122.273,108
42.3591,-71.0639,109
39.5009,-89.7679,110
43.1547,-77.6155,111
44.0581,-121.3153,112
41.1544,-96.0422,113
39.8289,-84.8902,114
39.2667,-81.5615,115
38.5792,-92.173,116
33.7559,-84.3898,117
41.8238,-71.4125,118
39.5505,-107.32470000000001,119
33.0462,-96.9941,120
38.9171,-77.0003,121
40.6804,-73.4551,122
40.2726,-76.8875,123
38.9381,-77.0451,124
38.8875,-77.0364,125
44.9833,-93.2666,126
34.0433,-118.2495,127
27.9508,-82.4571,128
42.5864,-82.9169,129
38.8048,-77.0469,130
34.0192,-118.496,131
33.5807,-112.2373,132
29.5688,-97.9647,133
43.6185,-116.1999,134
37.6014,-120.9572,135
44.2928,-72.6793,136
26.1223,-80.1378,137
43.0384,-87.9057,138
41.0998,-80.6495,139
41.5235,-90.5778,140
40.064,-80.7209,141
40.7061,-73.6203,142
41.9738,-91.6768,143
41.7947,-87.5932,144
34.7575,-112.4539,145
35.1495,-90.0489,146
39.2191,-121.0611,147
41.2459,-75.8813,148
43.9553,-86.4526,149
47.6056,-122.333,150
42.28,-83.7458,151
44.8016,-68.7712,152
44.9513,-93.0946,153
41.7673,-72.6762,154
44.6689,-90.1718,155
39.2903,-76.6121,156
37.6428,-120.9918,157
35.6145,-88.814,158
40.925,-98.342,159
44.5192,-88.0198,160
39.0484,-95.6781,161
40.0149,-105.27,162
40.1672,-105.1019,163
35.9132,-79.0558,164
32.7792,-96.8004,165
39.7594,-84.1916,166
38.2006,-84.874,167
40.6767,-95.8592,168
43.4195,-83.9508,169
46.8172,-95.8453,170
27.7674,-82.6409,171
39.6295,-79.9559,172
26.7097,-80.0642,173
35.0527,-78.8784,174
43.0947,-75.2758,175
35.4657,-97.5128,176
30.4382,-84.2803,177
36.0999,-80.2442,178
39.7392,-104.991,179
30.4209,-87.2169,180
38.3032,-77.4605,181
33.6357,-96.6089,182
42.9909,-71.4502,183
33.7533,-78.9172,184
35.8423,-90.7042,185
44.0266,-116.9629,186
27.8006,-97.3964,187
34.0395,-118.44,188
45.5761,-122.7246,189
29.6524,-82.3266,190
41.5862,-93.6234,191
42.8886,-88.0384,192
30.3323,-81.6571,193
45.5946,-121.1787,194
43.2082,-71.5383,195
43.0117,-88.2315,196
40.8257,-73.2026,197
36.1867,-94.1288,198
37.8044,-122.2711,199
33.961,-83.3779,200
40.808,-96.699700000000007,201
44.076,-103.228,202
41.4528,-82.1824,203
41.9428,-79.9845,204
45.5134,-122.6809,205
34.7048,-85.2819,206
41.5067,-90.5151,207
33.5338,-82.1307,208
40.7375,-73.2419,209
40.9382,-73.8321,210
41.1114,-74.1098,211
40.9312,-73.8988,212
46.8792,-102.7896,213
41.6411,-88.4473,214
40.6265,-80.0559,215
46.9105,-98.7084,216
35.65,-97.4667,217
38.3489,-81.6322,218
33.1506,-96.8236,219
30.4473,-91.189,220
44.7631,-85.6206,221
38.9098,-76.9761,222
43.0481,-76.1474,223
46.8928,-93.6768,224
39.3604,-104.5975,225
42.8864,-78.8779,226
45.864,-122.8065,227
44.0247,-88.5426,228
34.824,-89.9937,229
40.9257,-73.1409,230
42.5973,-82.878,231
39.8178,-84.9964,232
41.4988,-72.9001,233
34.4214,-119.7008,234
47.5002,-111.3008,235
32.3187,-106.77,236
38.7525,-121.2894,237
32.8423,-104.4033,238
45.4457,-122.6334,239
37.7272,-89.2167,240
42.5581,-71.2697,241
33.8339,-118.342,242
35.0867,-89.81,243
33.037,-117.292,244
40.2209,-74.759,245
35.3732,-119.0187,246
37.334,-121.891,247
30.1591,-85.6603,248
42.4275,-71.0727,249
39.9613,-82.9991,250
35.042,-89.6645,251
31.1171,-97.7278,252
43.8014,-91.2395,253
33.3768,-79.2945,254
45.3,-122.9722,255
33.3944,-104.5249,256
40.2143,-77.0086,257
27.9095,-82.7873,258
42.6504,-73.7591,259
27.4989,-82.5748,260
41.6054,-74.1814,261
32.7766,-79.9309,262
40.272,-81.8596,263
28.8017,-81.7336,264
39.0639,-108.5506,265
38.7717,-76.0706,266
30.6944,-88.0431,267
42.7534,-84.7464,268
39.1857,-78.1633,269
36.9286,-93.928,270
25.765,-80.1943,271
38.8839,-75.8267,272
26.8396,-80.1019,273
32.9412,-97.1342,274
32.2687,-107.7586,275
39.7256,-85.8907,276
39.3722,-104.8561,277
41.2568,-95.9342,278
34.7541,-77.4302,279
42.1292,-80.0851,280
33.1963,-80.0143,281
34.8526,-82.394,282
43.1789,-88.1173,283
38.7317,-82.9977,284
44.2619,-88.4154,285
39.1834,-96.5713,286
34.1361,-117.8653,287
34.953,-120.4357,288
46.8208,-94.5142,289
32.9342,-97.078,290
40.3972,-105.0742,291
33.9375,-117.2306,292
32.2656,-97.1778,293
34.1083,-117.2897,294
34.0564,-79.2464,295
42.0853,-76.8092,296
29.9546,-90.075,297
37.208,-93.2903,298
41.7481,-88.1656,299
34.6834,-82.8374,300
27.3364,-82.5307,301
40.804,-124.1654,302
38.5725,-109.5497,303
34.2581,-88.7046,304
38.8689,-76.9763,305
42.7261,-87.7829,306
36.3729,-94.2088,307
41.0814,-81.519,308
41.3078,-75.3209,309
39.3331,-82.9824,310
34.6948,-84.4822,311
39.7092,-84.0633,312
44.8114,-91.4985,313
41.4822,-81.6697,314
34.4358,-119.8276,315
42.5669,-92.6221,316
32.8323,-79.8284,317
32.7254,-97.3209,318
38.0293,-78.4767,319
42.5846,-87.824,320
30.1252,-91.8335,321
38.9516,-92.3343,322
37.5629,-122.3259,323
45.4889,-122.6747,324
37.5485,-121.9882,325
40.3101,-75.1299,326
44.1004,-70.2148,327
37.3771,-77.5058,328
46.0645,-118.343,329
36.0397,-114.9819,330
35.6875,-105.9386,331
47.6596,-117.429,332
46.8721,-113.994,333
42.7875,-86.1089,334
39.8667,-84.3,335
32.5437,-86.2119,336
41.4261,-73.6789,337
29.6977,-90.7864,338
41.9265,-73.9988,339
43.3095,-73.644,340
33.0096,-83.5338,341
33.4252,-111.9402,342
36.8525,-121.4016,343
34.9478,-97.9239,344
41.9439,-71.2806,345
46.358,-94.2008,346
33.2381,-96.7865,347
40.9629,-74.1329,348
41.794,-87.7038,349
41.5934,-87.3464,350
39.5523,-84.2333,351
33.9526,-84.5499,352
41.6675,-86.1714,353
46.7869,-92.0981,354
35.0456,-85.3097,355
34.7294,-86.5845,356
47.6732,-117.2394,357
31.9383,-81.3034,358
30.2841,-81.3961,359
42.5292,-85.8553,360
38.5015,-90.6499,361
39.3641,-74.4231,362
44.9181,-73.1243,363
37.7395,-121.426,364
39.8726,-74.2951,365
42.4966,-96.4052,366
43.4578,-88.8373,367
