latitude,longitude
45.4014,-91.8491
40.3156,-78.9517
40.3267,-78.9219
34.6993,-86.7483
40.7425,-73.0982
40.8514,-74.7329
41.3875,-72.8623
34.8224,-87.5048
40.632,-73.7126
42.4647,-71.0127
34.9159,-85.1091
40.9009,-73.3431
41.8834,-70.7625
32.439,-89.1084
35.5964,-88.6314
40.8165,-96.4293
41.7196,-87.7412
44.0077,-116.9166
41.5247,-74.2388
45.0617,-83.4328
40.1164,-74.8423
33.9172,-118.012
40.8309,-73.0319
41.9667,-71.1869
41.1951,-76.3836
33.6676,-84.0177
40.1006,-74.8515
41.3362,-75.9633
30.0933,-81.7189
33.2737,-85.8361
37.8806,-84.573
34.6148,-96.6345
40.6231,-79.7278
25.89,-80.1867
31.4638,-100.437
45.9173,-119.3425
28.8053,-97.0036
39.2807,-80.3445
38.7765,-76.5552
43.3316,-83.738
33.5018,-81.9651
47.7542,-122.1634
31.5309,-83.8369
43.8822,-84.4853
37.3635,-118.3951
40.8748,-81.4015
42.9767,-77.8599
40.8614,-73.6339
42.3506,-73.8025
34.8652,-120.436
35.4873,-80.6217
40.6351,-80.2281
35.4392,-88.6414
39.0286,-96.8314
39.2053,-96.3104
44.9311,-74.8933
40.8759,-75.7324
34.9489,-85.2569
30.2141,-92.3746
35.1208,-120.5867
28.0105,-82.5773
40.1634,-76.3949
46.7472,-92.2255
34.5955,-120.1388
42.9603,-90.1301
40.9907,-74.0596
38.0909,-88.1587
44.1034,-121.7691
26.3184,-80.0997
43.2883,-77.7934
38.5368,-82.6829
34.0853,-117.9609
35.1321,-118.4489
41.3117,-75.8374
35.4662,-82.5167
42.1655,-88.2942
48.117,-122.7604
42.6875,-83.2341
29.3874,-82.4467
41.8089,-88.0112
31.8556,-110.9973
35.4834,-86.4603
30.6303,-87.0464
38.8451,-76.875
47.6815,-122.2087
39.1714,-91.8878
27.8756,-80.5011
33.9793,-78.3765
30.2697,-87.5868
27.8358,-80.4931
38.5451,-75.0891
