latitude,longitude,city,state,county,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS (block)","Full FIPS (tract)","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
29.4278,-98.4875,"San Antonio",TX,"Bexar County",78205,29.427823,-98.487349,1,rooftop,214,"Broadway St",,,"San Antonio",TX,"Bexar County",78205,US,"Statewide TX",2021,48,48029,"San Antonio",4865000,110100,1060,1,480291101001060,48029110100,"San Antonio-New Braunfels, TX",41700,metropolitan,"San Antonio-New Braunfels-Pearsall, TX",484,,
44.4759,-73.2121,Burlington,VT,"Chittenden County",05401,44.476117,-73.212206,1,rooftop,156,"Church St",,,Burlington,VT,"Chittenden County",05401,US,"Statewide VT",2021,50,50007,Burlington,5010675,001000,3000,3,500070010003000,50007001000,"Burlington-South Burlington, VT",15540,metropolitan,"Burlington-South Burlington-Barre, VT",162,,
43.0748,-89.384,Madison,WI,"Dane County",53703,43.074706,-89.384172,1,rooftop,2,"Martin Luther King Jr Blvd",,,Madison,WI,"Dane County",53703,US,"Statewide WI",2021,55,55025,Madison,5548000,001704,3000,3,550250017043000,55025001704,"Madison, WI",31540,metropolitan,"Madison-Janesville-Beloit, WI",357,,
32.0835,-81.0998,Savannah,GA,"Chatham County",31401,32.08361,-81.099709,1,rooftop,9,"N Fahm St",,,Savannah,GA,"Chatham County",31401,US,Chatham,2021,13,13051,Savannah,1369000,000100,3012,3,130510117003012,13051011700,"Savannah, GA",42340,metropolitan,"Savannah-Hinesville-Statesboro, GA",496,,
38.2454,-81.5671,Charleston,WV,"Kanawha County",25315,38.245305,-81.567257,1,rooftop,9411,"Maccorkle Ave SE",,,Charleston,WV,"Kanawha County",25315,US,"Statewide WV",2021,54,54039,Marmet,5451724,012302,1058,1,540390123021058,54039012302,"Charleston, WV",16620,metropolitan,"Charleston-Huntington-Ashland, WV-OH-KY",170,,
38.8342,-104.8214,"Colorado Springs",CO,"El Paso County",80903,38.834169,-104.8211,1,rooftop,202,"E Pikes Peak Ave",,,"Colorado Springs",CO,"El Paso County",80903,US,"Statewide CO",2021,08,08041,"Colorado Springs",0816000,002300,1018,1,080410023001018,08041002300,"Colorado Springs, CO",17820,metropolitan,,,,
40.0428,-86.1275,Westfield,IN,"Hamilton County",46074,40.04287,-86.127527,1,rooftop,100,"N Union St",,,Westfield,IN,"Hamilton County",46074,US,Hamilton,2021,18,18057,Westfield,1882700,110401,1033,1,180571104011033,18057110401,"Indianapolis-Carmel-Anderson, IN",26900,metropolitan,"Indianapolis-Carmel-Muncie, IN",294,,
45.6333,-122.6,Vancouver,WA,"Clark County",98661,45.634029,-122.60114,0.98,rooftop,1700,"NE Andresen Rd",,,Vancouver,WA,"Clark County",98661,US,Clark,2021,53,53011,Vancouver,5374060,041205,1016,1,530110412051016,53011041205,"Portland-Vancouver-Hillsboro, OR-WA",38900,metropolitan,"Portland-Vancouver-Salem, OR-WA",440,,
48.1181,-123.4307,"Port Angeles",WA,"Clallam County",98362,48.118007,-123.430192,0.99,rooftop,229,"E 1st St",,,"Port Angeles",WA,"Clallam County",98362,US,Clallam,2021,53,53009,"Port Angeles",5355365,001000,1007,1,530090010001007,53009001000,"Port Angeles, WA",38820,micropolitan,,,,
32.4609,-84.9877,Columbus,GA,"Muscogee County",31901,32.460753,-84.987974,1,rooftop,745,"Veterans Pkwy",,,Columbus,GA,"Muscogee County",31901,US,Muscogee,2021,13,13215,Columbus,1319000,002500,1015,1,132150025001015,13215002500,"Columbus, GA-AL",17980,metropolitan,"Columbus-Auburn-Opelika, GA-AL",194,,
