latitude,longitude,city,state,county,zip_code,fips_code
29.4278,-98.4875,San Antonio,TX,Bexar County,78205,48029
44.4759,-73.2121,Burlington,VT,Chittenden County,05401,50007
43.0748,-89.384,Madison,WI,Dane County,53703,55025
32.0835,-81.0998,Savannah,GA,Chatham County,31401,13051
38.2454,-81.5671,Charleston,WV,Kanawha County,25315,54039
38.8342,-104.8214,Colorado Springs,CO,El Paso County,80903,08041
40.0428,-86.1275,Westfield,IN,Hamilton County,46074,18057
45.6333,-122.6,Vancouver,WA,Clark County,98661,53011
48.1181,-123.4307,Port Angeles,WA,Clallam County,98362,53009
32.4609,-84.9877,Columbus,GA,Muscogee County,31901,13215
40.7775,-111.8882,Salt Lake City,UT,Salt Lake County,84114,49035
40.8451,-73.8649,Bronx,NY,Bronx County,10462,36005
34.257,-85.1647,Rome,GA,Floyd County,30161,13015
30.2241,-92.0198,Lafayette,LA,Lafayette Parish,70501,22055
35.0844,-106.6511,Albuquerque,NM,Bernalillo County,87102,35001
44.3106,-69.7794,Augusta,ME,Kennebec County,04330,23011
39.7137,-82.5993,Lancaster,OH,Fairfield County,43130,39045
41.6608,-91.5304,Iowa City,IA,Johnson County,52240,19103
34.5034,-82.6501,Anderson,SC,Anderson County,29624,45007
38.627,-90.1913,Saint Louis,MO,St. Louis City,63101,29510
42.6389,-83.2911,Pontiac,MI,Oakland County,48342,26125
47.6776,-116.7804,Coeur D Alene,ID,Kootenai County,83814,16055
28.0836,-80.6081,Melbourne,FL,Brevard County,32901,12009
37.9748,-87.5559,Evansville,IN,Vanderburgh County,47713,18163
42.3265,-122.8756,Medford,OR,Jackson County,97501,41029
36.154,-95.9928,Tulsa,OK,Tulsa County,74103,40143
48.0796,-123.1023,Sequim,WA,Clallam County,98382,53009
40.4406,-79.9958,Pittsburgh,PA,Allegheny County,15219,42003
42.6801,-83.1339,Rochester,MI,Oakland County,48307,26125
33.4017,-86.9544,Bessemer,AL,Jefferson County,35020,01073
41.7,-73.93,Poughkeepsie,NY,Dutchess County,12601,36027
34.5008,-117.1859,Apple Valley,CA,San Bernardino County,92308,06071
35.601,-82.554,Asheville,NC,Buncombe County,28801,37021
42.216,-79.8344,North East,PA,Erie County,16428,42049
44.9385,-123.0305,Salem,OR,Marion County,97301,41047
37.7793,-122.4193,San Francisco,CA,San Francisco County,94103,06075
34.5811,-118.1248,Palmdale,CA,Los Angeles County,93550,06037
32.8321,-117.2749,LA Jolla,CA,San Diego County,92037,06073
47.0357,-122.9048,Olympia,WA,Thurston County,98501,53067
38.9187,-77.2311,Vienna,VA,Fairfax County,22182,51059
39.7444,-75.5516,Wilmington,DE,New Castle County,19801,10003
42.3351,-83.0476,Detroit,MI,Wayne County,48226,26163
30.8333,-83.2803,Valdosta,GA,Lowndes County,31601,13185
43.6156,-84.2472,Midland,MI,Midland County,48640,26111
26.3114,-98.1632,Edinburg,TX,Hidalgo County,78541,48215
30.2747,-97.7405,Austin,TX,Travis County,78704,48453
39.5539,-104.9694,Littleton,CO,Douglas County,80126,08035
43.6574,-70.2589,Portland,ME,Cumberland County,04101,23005
40.5067,-111.4122,Heber City,UT,Wasatch County,84032,49051
43.7094,-98.0298,Mitchell,SD,Davison County,57301,46035
35.9604,-83.9216,Knoxville,TN,Knox County,37902,47093
39.1271,-84.5144,Cincinnati,OH,Hamilton County,45219,39061
38.2542,-85.7594,Louisville,KY,Jefferson County,40202,21111
34.09,-118.3617,West Hollywood,CA,Los Angeles County,90046,06037
43.5499,-96.7003,Sioux Falls,SD,Minnehaha County,57103,46099
38.4784,-82.6379,Ashland,KY,Boyd County,41101,21019
34.3665,-89.5192,Oxford,MS,Lafayette County,38655,28071
42.4393,-123.3307,Grants Pass,OR,Josephine County,97526,41029
36.166,-86.7842,Nashville,TN,Davidson County,37203,47037
42.6528,-79.0062,Angola,NY,Erie County,14006,36029
41.6284,-87.5979,Dolton,IL,Cook County,60419,17031
41.0668,-73.4842,Darien,CT,Fairfield County,06820,09001
42.29,-85.5858,Kalamazoo,MI,Kalamazoo County,49007,26077
21.3069,-157.8583,Honolulu,HI,Honolulu County,96813,15003
41.0808,-85.1391,Fort Wayne,IN,Allen County,46802,18003
40.7834,-73.9663,New York,NY,New York County,10024,36061
34.0693,-118.3118,Los Angeles,CA,Los Angeles County,90004,06037
29.7603,-95.3644,Houston,TX,Harris County,77002,48201
32.7357,-97.1081,Arlington,TX,Tarrant County,76010,48439
45.0275,-84.6748,Gaylord,MI,Otsego County,49735,26137
37.323,-122.0321,Cupertino,CA,Santa Clara County,95014,06085
61.5809,-149.4415,Wasilla,AK,Matanuska-Susitna Borough,99654,02170
41.7302,-71.5352,West Warwick,RI,Kent County,02893,44003
36.1749,-115.13720000000001,Las Vegas,NV,Clark County,89101,32003
39.0438,-77.4874,Ashburn,VA,Loudoun County,20147,51107
41.8757,-87.6243,Chicago,IL,Cook County,60605,17031
25.7907,-80.1339,Miami Beach,FL,Miami-Dade County,33139,12086
44.5434,-68.4195,Ellsworth,ME,Hancock County,04605,23009
38.254,-104.6111,Pueblo,CO,Pueblo County,81004,08101
45.7832,-108.5006,Billings,MT,Yellowstone County,59101,30111
36.6777,-121.6559,Salinas,CA,Monterey County,93901,06053
37.7599,-78.8709,Lovingston,VA,Nelson County,22949,51125
40.7933,-77.86,State College,PA,Centre County,16801,42027
34.7648,-83.064,Walhalla,SC,Oconee County,29691,45073
39.2798,-89.8818,Carlinville,IL,Macoupin County,62626,17117
42.2594,-89.0644,Rockford,IL,Winnebago County,61104,17201
34.2257,-77.9447,Wilmington,NC,New Hanover County,28401,37129
42.0373,-88.2812,Elgin,IL,Kane County,60120,17031
32.7174,-117.166,San Diego,CA,San Diego County,92101,06073
39.961,-75.608,West Chester,PA,Chester County,19380,42029
34.1954,-79.7626,Florence,SC,Florence County,29506,45031
40.7439,-74.0323,Hoboken,NJ,Hudson County,07030,34017
37.3538,-121.9564,Santa Clara,CA,Santa Clara County,95050,06085
46.1262,-67.8403,Houlton,ME,Aroostook County,04730,23003
40.6904,-73.9862,Brooklyn,NY,Kings County,11201,36047
41.8758,-87.6866,Chicago,IL,Cook County,60612,17031
42.3736,-71.1097,Cambridge,MA,Middlesex County,02138,25017
33.4492,-112.0741,Phoenix,AZ,Maricopa County,85004,04013
40.6995,-99.0815,Kearney,NE,Buffalo County,68847,31019
33.9412,-84.2135,Norcross,GA,Gwinnett County,30071,13135
38.5799,-121.4962,Sacramento,CA,Sacramento County,95814,06067
43.3194,-87.9517,Grafton,WI,Ozaukee County,53024,55089
39.9525,-75.1636,Philadelphia,PA,Philadelphia County,19107,42101
26.962,-82.3526,Englewood,FL,Sarasota County,34223,12015
36.8251,-119.7021,Clovis,CA,Fresno County,93612,06019
46.8771,-96.7898,Fargo,ND,Cass County,58102,38017
28.5347,-81.387200000000007,Orlando,FL,Orange County,32805,12095
37.8715,-122.273,Berkeley,CA,Alameda County,94704,06001
42.3591,-71.0639,Boston,MA,Suffolk County,02114,25025
39.5009,-89.7679,Virden,IL,Macoupin County,62690,17117
43.1547,-77.6155,Rochester,NY,Monroe County,14614,36055
44.0581,-121.3153,Bend,OR,Deschutes County,97703,NA
41.1544,-96.0422,Papillion,NE,Sarpy County,68046,31153
39.8289,-84.8902,Richmond,IN,Wayne County,47374,18177
39.2667,-81.5615,Parkersburg,WV,Wood County,26101,54107
38.5792,-92.173,Jefferson City,MO,Cole County,65101,29027
33.7559,-84.3898,Atlanta,GA,Fulton County,30303,13121
41.8238,-71.4125,Providence,RI,Providence County,02903,44007
39.5505,-107.32470000000001,Glenwood Springs,CO,Garfield County,81601,08045
