data_id,event_date,event_type,sub_event_type,state,county,counter_event,chemical_agents,racism,arrests_any,source_soc_media,state_code,region,division
8478981,2021-09-03,Protests,Protest with intervention,Texas,Bexar,0,0,0,0,0,TX,South,West South Central
8478987,2021-09-03,Protests,Peaceful protest,Vermont,Chittenden,0,0,0,0,0,VT,Northeast,New England
8478745,2021-09-03,Protests,Peaceful protest,Wisconsin,Dane,0,0,0,0,0,WI,Midwest,East North Central
8478748,2021-09-03,Protests,Peaceful protest,Georgia,Chatham,0,0,0,0,0,GA,South,South Atlantic
8478493,2021-09-03,Protests,Peaceful protest,West Virginia,Kanawha,0,0,0,0,0,WV,South,South Atlantic
8478523,2021-09-03,Protests,Peaceful protest,Colorado,El Paso,0,0,0,0,0,CO,West,Mountain
8479036,2021-09-03,Protests,Peaceful protest,Indiana,Hamilton,0,0,1,0,0,IN,Midwest,East North Central
8478549,2021-09-03,Protests,Peaceful protest,Washington,Clark,1,0,0,0,0,WA,West,Pacific
8479086,2021-09-03,Protests,Peaceful protest,Washington,Clallam,0,0,0,0,0,WA,West,Pacific
8479353,2021-09-03,Protests,Peaceful protest,Georgia,Muscogee,0,0,0,0,0,GA,South,South Atlantic
8478857,2021-09-03,Protests,Peaceful protest,Utah,Salt Lake,0,0,0,0,0,UT,West,Mountain
8479148,2021-09-03,Protests,Peaceful protest,New York,Bronx,0,0,0,1,0,NY,Northeast,Middle Atlantic
8479162,2021-09-03,Protests,Peaceful protest,Georgia,Floyd,0,0,0,0,0,GA,South,South Atlantic
8478923,2021-09-03,Protests,Peaceful protest,Louisiana,Lafayette,0,0,0,0,0,LA,South,West South Central
8478925,2021-09-03,Protests,Peaceful protest,New Mexico,Bernalillo,0,0,0,0,0,NM,West,Mountain
8478714,2021-09-03,Protests,Peaceful protest,Maine,Kennebec,0,0,0,0,0,ME,Northeast,New England
8478979,2021-09-02,Protests,Peaceful protest,Ohio,Fairfield,0,0,1,0,0,OH,Midwest,East North Central
8478986,2021-09-02,Protests,Peaceful protest,Iowa,Johnson,0,0,0,0,0,IA,Midwest,West North Central
8478491,2021-09-02,Protests,Peaceful protest,South Carolina,Anderson,0,0,0,0,0,SC,South,South Atlantic
8478512,2021-09-02,Protests,Peaceful protest,Missouri,St. Louis city,0,0,0,0,0,MO,Midwest,West North Central
8478521,2021-09-02,Protests,Peaceful protest,Michigan,Oakland,1,0,0,0,0,MI,Midwest,East North Central
8478522,2021-09-02,Protests,Peaceful protest,Idaho,Kootenai,0,0,0,0,0,ID,West,Mountain
8479309,2021-09-02,Protests,Peaceful protest,Florida,Brevard,0,0,0,0,0,FL,South,South Atlantic
8478798,2021-09-02,Protests,Peaceful protest,Indiana,Vanderburgh,0,0,0,0,0,IN,Midwest,East North Central
8478810,2021-09-02,Protests,Peaceful protest,Iowa,Johnson,0,0,0,0,0,IA,Midwest,West North Central
8479073,2021-09-02,Protests,Peaceful protest,Oregon,Jackson,0,0,0,0,0,OR,West,Pacific
8479080,2021-09-02,Protests,Protest with intervention,Oklahoma,Tulsa,0,0,0,1,0,OK,South,West South Central
8479087,2021-09-02,Protests,Peaceful protest,Washington,Clallam,0,0,0,0,0,WA,West,Pacific
8479345,2021-09-02,Protests,Peaceful protest,Pennsylvania,Allegheny,0,0,0,0,0,PA,Northeast,Middle Atlantic
8479091,2021-09-02,Protests,Peaceful protest,Michigan,Oakland,0,0,0,0,0,MI,Midwest,East North Central
8479363,2021-09-02,Protests,Peaceful protest,Alabama,Jefferson,0,0,0,0,0,AL,South,East South Central
8479145,2021-09-02,Protests,Peaceful protest,New York,Dutchess,0,0,0,0,0,NY,Northeast,Middle Atlantic
8478891,2021-09-02,Protests,Peaceful protest,California,San Bernardino,0,0,0,0,0,CA,West,Pacific
8478638,2021-09-02,Protests,Peaceful protest,North Carolina,Buncombe,0,0,0,0,0,NC,South,South Atlantic
8478904,2021-09-02,Protests,Peaceful protest,Pennsylvania,Erie,0,0,0,0,0,PA,Northeast,Middle Atlantic
8479165,2021-09-02,Protests,Peaceful protest,Oregon,Marion,0,0,0,0,0,OR,West,Pacific
8479169,2021-09-02,Protests,Peaceful protest,California,San Francisco,0,0,0,0,0,CA,West,Pacific
8478970,2021-09-02,Protests,Peaceful protest,California,Los Angeles,0,0,1,1,0,CA,West,Pacific
8478976,2021-09-01,Protests,Peaceful protest,California,San Diego,0,0,0,0,0,CA,West,Pacific
8478980,2021-09-01,Protests,Peaceful protest,Texas,Bexar,0,0,0,0,0,TX,South,West South Central
8478475,2021-09-01,Strategic developments,Other,Washington,Thurston,0,0,0,0,0,WA,West,Pacific
8478990,2021-09-01,Protests,Peaceful protest,Michigan,Oakland,0,0,0,0,0,MI,Midwest,East North Central
8478480,2021-09-01,Protests,Peaceful protest,Virginia,Fairfax,0,0,0,0,0,VA,South,South Atlantic
8478486,2021-09-01,Protests,Peaceful protest,Delaware,New Castle,0,0,0,0,0,DE,South,South Atlantic
8478502,2021-09-01,Protests,Peaceful protest,Michigan,Wayne,0,0,0,0,0,MI,Midwest,East North Central
8479273,2021-09-01,Protests,Peaceful protest,Georgia,Lowndes,0,0,0,0,0,GA,South,South Atlantic
8478511,2021-09-01,Protests,Peaceful protest,Michigan,Midland,0,0,0,0,0,MI,Midwest,East North Central
8478513,2021-09-01,Protests,Peaceful protest,Texas,Hidalgo,0,0,0,0,0,TX,South,West South Central
8478514,2021-09-01,Protests,Peaceful protest,Texas,Travis,0,0,0,0,0,TX,South,West South Central
8478516,2021-09-01,Protests,Peaceful protest,Colorado,Douglas,0,0,0,0,0,CO,West,Mountain
8478517,2021-09-01,Protests,Peaceful protest,Maine,Cumberland,0,0,0,0,0,ME,Northeast,New England
8478518,2021-09-01,Protests,Peaceful protest,Texas,Bexar,0,0,0,0,0,TX,South,West South Central
8479034,2021-09-01,Strategic developments,Other,Utah,Wasatch,0,0,0,0,0,UT,West,Mountain
8479037,2021-09-01,Protests,Peaceful protest,South Dakota,Davison,0,0,0,0,0,SD,Midwest,West North Central
8479293,2021-09-01,Protests,Peaceful protest,Tennessee,Knox,0,0,0,0,0,TN,South,East South Central
8478784,2021-09-01,Protests,Peaceful protest,Ohio,Hamilton,0,0,0,0,0,OH,Midwest,East North Central
8479305,2021-09-01,Protests,Peaceful protest,Kentucky,Jefferson,0,0,0,0,0,KY,South,East South Central
8479050,2021-09-01,Protests,Peaceful protest,California,Los Angeles,0,0,0,0,0,CA,West,Pacific
8478550,2021-09-01,Protests,Peaceful protest,South Dakota,Minnehaha,0,0,0,0,0,SD,Midwest,West North Central
8478809,2021-09-01,Protests,Peaceful protest,Kentucky,Boyd,0,0,0,0,0,KY,South,East South Central
8478811,2021-09-01,Protests,Peaceful protest,Iowa,Johnson,0,0,0,0,0,IA,Midwest,West North Central
8478812,2021-09-01,Protests,Peaceful protest,Mississippi,Lafayette,0,0,0,0,0,MS,South,East South Central
8479075,2021-09-01,Protests,Peaceful protest,Oregon,Josephine,0,0,0,0,0,OR,West,Pacific
8479077,2021-09-01,Protests,Peaceful protest,Tennessee,Davidson,0,0,0,0,0,TN,South,East South Central
8479338,2021-09-01,Protests,Peaceful protest,Ohio,Hamilton,0,0,0,0,0,OH,Midwest,East North Central
8479346,2021-09-01,Protests,Peaceful protest,New York,Erie,0,0,0,0,0,NY,Northeast,Middle Atlantic
8478864,2021-09-01,Protests,Protest with intervention,Illinois,Cook,0,0,0,1,0,IL,Midwest,East North Central
8478629,2021-09-01,Protests,Peaceful protest,Connecticut,Fairfield,0,0,0,0,0,CT,Northeast,New England
8478886,2021-09-01,Protests,Peaceful protest,Michigan,Kalamazoo,0,0,0,0,0,MI,Midwest,East North Central
8478892,2021-09-01,Protests,Peaceful protest,Hawaii,Honolulu,0,0,0,0,0,HI,West,Pacific
8478643,2021-09-01,Protests,Peaceful protest,Indiana,Allen,0,0,0,0,0,IN,Midwest,East North Central
8478652,2021-09-01,Protests,Peaceful protest,New York,New York,0,0,0,0,0,NY,Northeast,Middle Atlantic
8479173,2021-09-01,Protests,Peaceful protest,California,Los Angeles,0,0,0,0,0,CA,West,Pacific
8478921,2021-09-01,Protests,Peaceful protest,Texas,Harris,0,0,0,0,0,TX,South,West South Central
8479183,2021-09-01,Protests,Peaceful protest,Texas,Tarrant,0,0,0,0,0,TX,South,West South Central
8478672,2021-09-01,Protests,Peaceful protest,New York,New York,0,0,0,0,0,NY,Northeast,Middle Atlantic
8479193,2021-09-01,Protests,Peaceful protest,Michigan,Otsego,0,0,0,0,0,MI,Midwest,East North Central
8478960,2021-09-01,Protests,Peaceful protest,California,Santa Clara,0,0,0,0,0,CA,West,Pacific
8478713,2021-09-01,Protests,Peaceful protest,Maine,Kennebec,0,0,0,0,0,ME,Northeast,New England
8478749,2021-08-31,Protests,Peaceful protest,Alaska,Matanuska-Susitna,1,0,0,0,0,AK,West,Pacific
8479261,2021-08-31,Protests,Peaceful protest,Rhode Island,Providence,0,0,0,0,0,RI,Northeast,New England
8478751,2021-08-31,Protests,Peaceful protest,Nevada,Clark,0,0,0,0,0,NV,West,Mountain
8479007,2021-08-31,Protests,Peaceful protest,Virginia,Loudoun,0,0,0,0,0,VA,South,South Atlantic
8478756,2021-08-31,Protests,Peaceful protest,Illinois,Cook,0,0,0,0,0,IL,Midwest,East North Central
8479013,2021-08-31,Protests,Peaceful protest,Florida,Miami-Dade,0,0,0,0,0,FL,South,South Atlantic
8479269,2021-08-31,Protests,Peaceful protest,New York,Bronx,0,0,0,0,0,NY,Northeast,Middle Atlantic
8479271,2021-08-31,Protests,Peaceful protest,Maine,Hancock,0,0,0,0,0,ME,Northeast,New England
8478510,2021-08-31,Protests,Peaceful protest,New York,New York,0,0,0,0,0,NY,Northeast,Middle Atlantic
8478519,2021-08-31,Protests,Peaceful protest,Colorado,Pueblo,0,0,0,0,0,CO,West,Mountain
8478520,2021-08-31,Protests,Peaceful protest,Montana,Yellowstone,1,0,0,0,0,MT,West,Mountain
8478525,2021-08-31,Riots,Violent demonstration,Iowa,Johnson,0,0,0,0,0,IA,Midwest,West North Central
8478531,2021-08-31,Protests,Peaceful protest,California,Monterey,0,0,0,0,0,CA,West,Pacific
8479046,2021-08-31,Protests,Peaceful protest,Virginia,Nelson,0,0,0,0,0,VA,South,South Atlantic
8478807,2021-08-31,Protests,Peaceful protest,Pennsylvania,Centre,0,0,0,0,0,PA,Northeast,Middle Atlantic
8478838,2021-08-31,Protests,Peaceful protest,South Carolina,Oconee,1,0,0,0,0,SC,South,South Atlantic
8478839,2021-08-31,Protests,Peaceful protest,Illinois,Macoupin,0,0,0,0,0,IL,Midwest,East North Central
8479354,2021-08-31,Protests,Excessive force against protesters,Illinois,Winnebago,0,0,0,0,0,IL,Midwest,East North Central
8479366,2021-08-31,Protests,Peaceful protest,North Carolina,New Hanover,0,0,0,0,0,NC,South,South Atlantic
8478870,2021-08-31,Protests,Peaceful protest,Illinois,Kane,0,0,0,0,0,IL,Midwest,East North Central
8478635,2021-08-31,Protests,Peaceful protest,California,San Diego,0,0,0,0,0,CA,West,Pacific
8478896,2021-08-31,Protests,Peaceful protest,California,San Francisco,0,0,0,0,0,CA,West,Pacific
8479152,2021-08-31,Protests,Peaceful protest,Pennsylvania,Chester,0,0,0,0,0,PA,Northeast,Middle Atlantic
8478641,2021-08-31,Protests,Peaceful protest,South Carolina,Florence,0,0,0,0,0,SC,South,South Atlantic
8478897,2021-08-31,Protests,Peaceful protest,New Jersey,Hudson,0,0,0,0,0,NJ,Northeast,Middle Atlantic
8479177,2021-08-31,Protests,Peaceful protest,California,Santa Clara,0,0,0,0,0,CA,West,Pacific
8478689,2021-08-31,Protests,Peaceful protest,Maine,Aroostook,0,0,0,0,0,ME,Northeast,New England
8478692,2021-08-31,Protests,Peaceful protest,New York,Kings,0,0,0,0,0,NY,Northeast,Middle Atlantic
8478699,2021-08-31,Protests,Peaceful protest,Illinois,Cook,0,0,0,0,0,IL,Midwest,East North Central
8478704,2021-08-31,Protests,Peaceful protest,Massachusetts,Middlesex,0,0,0,0,0,MA,Northeast,New England
8478474,2021-08-30,Protests,Excessive force against protesters,California,San Diego,0,0,0,1,0,CA,West,Pacific
8478478,2021-08-30,Protests,Peaceful protest,Arizona,Maricopa,0,0,0,0,0,AZ,West,Mountain
8478991,2021-08-30,Protests,Peaceful protest,Nebraska,Buffalo,0,0,0,0,0,NE,Midwest,West North Central
8478481,2021-08-30,Protests,Peaceful protest,Georgia,Gwinnett,0,0,0,0,0,GA,South,South Atlantic
8478999,2021-08-30,Protests,Peaceful protest,California,Sacramento,0,0,0,0,0,CA,West,Pacific
8478746,2021-08-30,Protests,Peaceful protest,Wisconsin,Ozaukee,0,0,0,0,0,WI,Midwest,East North Central
8478492,2021-08-30,Protests,Peaceful protest,Pennsylvania,Philadelphia,0,0,0,0,0,PA,Northeast,Middle Atlantic
8479267,2021-08-30,Protests,Peaceful protest,Florida,Sarasota,0,0,0,0,0,FL,South,South Atlantic
8478504,2021-08-30,Protests,Peaceful protest,New York,Bronx,0,0,0,0,0,NY,Northeast,Middle Atlantic
8478505,2021-08-30,Protests,Peaceful protest,New York,Kings,0,0,0,0,0,NY,Northeast,Middle Atlantic
8479018,2021-08-30,Strategic developments,Change to group/activity,California,Fresno,0,0,0,0,0,CA,West,Pacific
8478515,2021-08-30,Protests,Peaceful protest,North Dakota,Cass,0,0,0,0,0,ND,Midwest,West North Central
8479307,2021-08-30,Protests,Peaceful protest,Florida,Orange,0,0,0,0,0,FL,South,South Atlantic
8478804,2021-08-30,Protests,Peaceful protest,California,Alameda,0,0,0,0,0,CA,West,Pacific
8479319,2021-08-30,Protests,Peaceful protest,Massachusetts,Suffolk,0,0,0,0,0,MA,Northeast,New England
8479321,2021-08-30,Protests,Peaceful protest,Illinois,Macoupin,0,0,0,0,0,IL,Midwest,East North Central
8479079,2021-08-30,Protests,Peaceful protest,New York,Monroe,0,0,0,0,0,NY,Northeast,Middle Atlantic
8479083,2021-08-30,Protests,Peaceful protest,Oregon,Deschutes,0,0,0,0,0,OR,West,Pacific
8479342,2021-08-30,Protests,Peaceful protest,Nebraska,Sarpy,0,0,0,0,0,NE,Midwest,West North Central
8479116,2021-08-30,Protests,Peaceful protest,Indiana,Wayne,0,0,0,0,0,IN,Midwest,East North Central
8479117,2021-08-30,Protests,Peaceful protest,West Virginia,Wood,0,0,0,0,0,WV,South,South Atlantic
8478872,2021-08-30,Protests,Peaceful protest,Missouri,Cole,0,0,0,0,0,MO,Midwest,West North Central
8478885,2021-08-30,Protests,Peaceful protest,Georgia,Fulton,0,0,0,0,0,GA,South,South Atlantic
8479151,2021-08-30,Protests,Peaceful protest,Rhode Island,Providence,0,0,0,0,0,RI,Northeast,New England
8479166,2021-08-30,Protests,Peaceful protest,Texas,Travis,0,0,0,0,0,TX,South,West South Central
8478922,2021-08-30,Protests,Peaceful protest,Colorado,El Paso,0,0,0,0,0,CO,West,Mountain
8478682,2021-08-30,Protests,Peaceful protest,Colorado,Garfield,0,0,0,0,0,CO,West,Mountain
